Name	Value	Access	
CANFD.RFB[1]_DATA[59]	0x20	ReadWrite	
CANFD.RFB[1]_DATA[60]	0x8a	ReadWrite	
CANFD.RFB[1]_DATA[61]	0x20	ReadWrite	
CANFD.RFB[1]_DATA[62]	0x28	ReadWrite	
CANFD.RFB[1]_DATA[63]	0xa4	ReadWrite	
CANFD.CFB[0]_HF0	0x0000'0000	ReadWrite	
CANFD.CFB[0]_HF1	0x0000'0000	ReadWrite	
CANFD.CFB[0]_HF2	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[0]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[1]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[2]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[3]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[4]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[5]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[6]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[7]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[8]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[9]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[10]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[11]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[12]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[13]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[14]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DF[15]	0x0000'0000	ReadWrite	
CANFD.CFB[0]_DATA[0]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[1]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[2]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[3]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[4]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[5]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[6]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[7]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[8]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[9]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[10]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[11]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[12]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[13]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[14]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[15]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[16]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[17]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[18]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[19]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[20]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[21]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[22]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[23]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[24]	0x00	ReadWrite	
